Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.10,15.10,145.48,5
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01,11.80,115.35,5
Regular,FDR28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03,13.85,165.02,5
Regular,FDL50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.04,12.15,126.50,5
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03,19.60,55.16,5
low fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.01,8.89,102.40,5
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.10,11.80,81.46,5
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03,19.70,96.07,5
Low Fat,FDW20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.02,20.75,124.17,5
Low Fat,FDX25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.10,,181.93,5
LF,FDX21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08,,109.89,5
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05,18.85,192.18,5
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.13,17.10,112.39,5
Low Fat,NCR54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.09,16.35,195.21,5
Low Fat,FDH19,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,173.17,5
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02,20.25,222.18,5
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.15,17.85,93.74,5
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.08,19.20,197.61,5
Low Fat,FDJ56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.18,,98.77,5
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,12.10,178.57,5
Regular,FDZ07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.00,,60.22,5
Low Fat,NCK31,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,50.97,5
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,6.85,261.66,5
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04,17.25,173.18,5
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.07,16.00,76.20,5
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.14,13.35,150.24,5
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03,6.70,221.95,5
Regular,FDO19,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02,,47.40,5
Low Fat,FDO04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03,16.60,57.26,5
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.13,6.92,93.18,5
Low Fat,NCJ30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.08,5.82,167.78,5
Low Fat,NCQ41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.02,14.80,196.38,5
Low Fat,DRJ35,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,10.10,59.99,5
Low Fat,NCE31,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.18,7.67,35.42,5
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.03,15.60,174.31,5
low fat,FDZ04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.04,9.31,61.65,5
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.12,11.80,46.84,5
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.04,13.15,88.69,5
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.06,16.25,126.20,5
Regular,FDP51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09,13.85,119.61,5
Regular,FDT50,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.11,6.75,95.68,5
Regular,FDQ08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02,,62.95,5
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.05,10.50,159.09,5
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.17,9.30,104.30,5
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.11,20.75,150.57,5
Low Fat,NCJ31,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.18,19.20,239.22,5
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05,18.10,127.33,5
LF,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,17.50,256.33,5
LF,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,10.50,235.52,5
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,7.98,82.43,5
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,10.00,264.62,5
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02,10.10,114.92,5
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,8.93,152.23,5
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.09,7.30,147.21,5
Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,7.93,122.14,5
Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,15.35,62.72,5
Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02,19.35,120.91,5
Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,9.50,111.12,5
Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04,10.50,39.22,5
Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00,15.60,111.95,5
Low Fat,DRM59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00,5.88,153.90,5
Low Fat,DRG23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.09,8.88,153.37,5
Low Fat,NCJ29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04,10.60,84.72,5
Low Fat,NCM42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,6.13,110.09,5
Low Fat,NCY42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02,6.38,144.95,5
Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.05,9.20,107.76,5
Low Fat,NCI06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.05,11.30,180.77,5
Low Fat,NCQ02,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,12.60,186.96,5
